"station","date","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totpar_nValid","totpar_total","totprcp_nValid","totprcp_total"
"grbgbmet",2002-01-15,96,-3.1,-2.1,-0.3,-2.13541666666667,0.682561609583481,0.9,96,69,97,98,94.90625,6.40900374062681,1,96,1003,1007,1015,1008.23958333333,3.70985825141797,6,96,0.2,1.1,3.5,1.203125,0.894480516689347,1.7,0,NA,NA,NA,NA,NA,NA,96,1,256.5,352,234.354166666667,85.8543416634019,151.25,96,2363.1,96,3
"grbgbmet",2002-01-16,96,-2.8,-0.3,3.2,-0.148958333333333,1.46682577386586,1.7,96,41,63.5,97,66.1770833333333,17.794141431894,21.75,96,1003,1015,1018,1012.73958333333,4.8106128106547,8,96,0.2,1.4,5.9,1.62395833333333,1.35535932634441,1.6,0,NA,NA,NA,NA,NA,NA,96,11,179,299,178.239583333333,47.4147977771245,44,96,12266,96,0
"grbgbmet",2002-01-17,96,-2.6,0.1,3.5,-0.0552083333333333,1.74040949758907,2.925,96,65,78,97,80.125,9.02423637241751,14,96,1005,1009,1016,1010.10416666667,3.60549045256103,6,96,0.2,2.2,6.2,2.36979166666667,1.34548913365063,1.8,0,NA,NA,NA,NA,NA,NA,96,42,139,200,135.479166666667,27.3484259786331,23,96,5764.7,96,0.9
"grbgbmet",2002-01-18,96,-4.3,-1.3,2.8,-1.01979166666667,1.73299982030956,2.925,96,39,59,76,58.0208333333333,11.8410340646119,23,96,1009,1011,1017,1011.42708333333,2.2837862913507,2,96,0.2,2,5.9,2.221875,1.2522992012589,1.6,0,NA,NA,NA,NA,NA,NA,96,0,160,350,162.84375,41.3107168776744,27.25,96,12182.6,96,0
"grbgbmet",2002-01-19,96,-7.3,-4.1,-1.1,-4.10729166666667,1.90380476617727,3.475,96,39,64.5,95,65.0833333333333,16.1549514434538,13.25,96,1010,1017.5,1021,1017.02083333333,3.06415324155292,4,96,0.2,1.35,6.3,1.55416666666667,1.21559313368687,1.6,0,NA,NA,NA,NA,NA,NA,96,0,132,327,128.791666666667,63.5243702372175,67.25,96,9526.4,96,1.2
"grbgbmet",2002-01-20,96,-8.4,-2.1,2.4,-2.66354166666667,3.24670261201687,5.325,96,53,75,96,76.1041666666667,14.6305226489848,30.5,96,1007,1013,1017,1012.45833333333,3.1819115958035,6.25,96,0.2,1.3,4,1.334375,1.00386915953907,1.7,0,NA,NA,NA,NA,NA,NA,96,0,157.5,333,163.9375,54.3735253883532,47.25,96,11147,96,0.6
"grbgbmet",2002-01-21,96,-5.5,-1.3,0.7,-2.22708333333333,1.76465169765455,2.55,96,68,93,98,88.8020833333333,9.33991974682829,16,96,1001,1009.5,1017,1008.95833333333,6.48872165930469,13.25,96,0.2,0.55,4.4,1.0875,1.14360924500598,1.2,0,NA,NA,NA,NA,NA,NA,96,22,155,342,174.947916666667,74.906309170248,81.75,96,4572.9,96,4
"grbgbmet",2002-01-22,96,-2.1,-0.25,6.3,1.16458333333333,2.74931490668864,5.025,96,40,72,87,66.1875,15.1992468649982,27.5,96,1002,1015,1023,1014.54166666667,6.97501807832657,13.25,96,0.2,1.7,8,1.87708333333333,1.37683689105188,1.45,0,NA,NA,NA,NA,NA,NA,96,41,160.5,301,166.916666666667,44.6763016578651,44.5,96,13461.9,96,0
"grbgbmet",2002-01-23,96,-2.9,5.35,10.7,4.17291666666667,4.46524542065346,8.1,96,44,74,88,69.5833333333333,12.8911774536057,20,96,1007,1012.5,1022,1013.80208333333,5.65242340513139,12,96,0.2,4.05,11.6,4.203125,3.01492613595477,4.5,0,NA,NA,NA,NA,NA,NA,96,8,139,317,150.395833333333,47.5599298761527,17.5,96,17007.8,96,0
"grbgbmet",2002-01-24,96,2.5,4.1,6.8,4.32083333333333,1.04326579008991,1.7,96,85,94,99,93.8020833333333,3.48717889800146,5,96,995,1002,1007,1002.17708333333,3.89059538581698,7,96,0.2,0.7,4.1,1.05833333333333,0.988637197748461,1.3,0,NA,NA,NA,NA,NA,NA,96,9,150.5,345,161.78125,81.6254866190057,70,96,3282.7,96,3.9
"grbgbmet",2002-01-25,96,0.1,2.1,5.6,2.5,1.46402473375713,1.75,96,36,60.5,96,65.0416666666667,20.2697164141182,36.5,96,1002,1009,1013,1008.4375,3.61520910074442,7,96,0.2,2.55,6.9,2.478125,1.58348071797876,2.475,0,NA,NA,NA,NA,NA,NA,96,14,173.5,350,188.125,55.6854417334785,61,96,15824,96,0
"grbgbmet",2002-01-26,96,0.2,3.5,11.8,5.121875,4.09181990458756,7.825,96,29,47,89,51.6145833333333,17.6780385859295,28.25,96,1011,1012,1018,1013.35416666667,2.25238664843208,3,96,0.2,3.2,8.8,3.04895833333333,2.06657585043812,3.55,0,NA,NA,NA,NA,NA,NA,96,85,156,331,168.84375,46.7727604319122,33.25,96,16876.4,96,0
"grbgbmet",2002-01-27,96,-1.5,2.05,10,2.88645833333333,3.62356671604292,6.85,96,42,87.5,95,78.9895833333333,16.2140256319331,26.5,96,1016,1018,1020,1017.71875,1.04330572801325,1,96,0.2,0.6,3.7,0.866666666666667,0.79956128321351,1.125,0,NA,NA,NA,NA,NA,NA,96,0,290.5,353,261.53125,91.6977819998074,92.5,96,17451.8,96,0
"grbgbmet",2002-01-28,96,-0.7,0.9,7.6,2.03541666666667,2.58538317089573,3.95,96,65,96,99,90.2083333333333,10.5440596063592,14.5,96,1010,1013,1017,1013.19791666667,2.60614573921626,5,96,0.2,0.25,3.5,0.857291666666667,0.894867798723913,1.1,0,NA,NA,NA,NA,NA,NA,96,23,168,352,194.895833333333,86.3057574668679,147.5,96,10039.3,96,0
"grbgbmet",2002-01-29,96,-0.7,3.85,9.9,3.40625,3.11917035190618,6.1,96,59,90,98,85.9375,12.3627730665388,22.25,96,1008,1010,1014,1010.11458333333,1.56857153699366,2,96,0.2,0.2,2.8,0.49375,0.562290896806607,0.4,0,NA,NA,NA,NA,NA,NA,96,0,275.5,352,245.28125,79.8495563214777,106.75,96,6715.9,96,1.1
"grbgbmet",2002-01-30,96,-0.6,0.2,3.2,0.678125,1.13436308352448,1.35,96,90,96,98,96.03125,1.26035187233775,2,96,1012,1015,1026,1016.67708333333,4.15361552503654,7,96,0.2,1.35,4.4,1.41979166666667,1.21565401861815,2.3,0,NA,NA,NA,NA,NA,NA,96,11,316,352,260.135416666667,95.131335231786,129.75,96,2266,96,7
"grbgbmet",2002-01-31,96,-4.6,-3.5,-0.6,-3.15520833333333,1.13293933424863,1.225,96,55,87.5,98,83.5,13.7028617833149,23,96,1024,1028,1031,1028.21875,2.14330352493528,4,96,0.2,1.9,4.4,1.88645833333333,0.961864394826572,1.225,0,NA,NA,NA,NA,NA,NA,96,57,320.5,355,300.270833333333,55.9602263203479,32.5,96,3231.4,96,10.3
"grbgbmet",2002-02-01,96,-5.3,-4.4,0.7,-3.25520833333333,1.97430173088143,3.425,96,89,97,99,97.21875,1.66197805419674,1,96,997,1007.5,1023,1008.40625,9.1933364025541,18,96,0.2,2,4.4,2.01875,1.0030807807109,1.4,0,NA,NA,NA,NA,NA,NA,96,114,301,345,263.895833333333,72.5725015584839,134.25,96,1966.7,96,11.4
"grbgbmet",2002-02-02,96,-9.9,-6,0.3,-5.83020833333333,2.15010990131186,3.025,96,41,63,85,63.6875,10.2282503519985,17,96,1002,1018,1023,1016.38541666667,6.14452223600598,10,96,0.2,2.1,6.1,2.19479166666667,1.32818592481519,1.6,0,NA,NA,NA,NA,NA,NA,96,0,173,353,176.833333333333,36.7121567895479,41.25,96,24234.5,96,0
"grbgbmet",2002-02-03,96,-11.5,-2.9,0.9,-4.725,4.82163981714891,10.35,96,51,66,89,66.5625,8.59475053984147,9.25,96,1009,1019.5,1023,1018.10416666667,4.89356003585952,10,96,0.2,1.7,4.4,1.85520833333333,0.982999683211028,1.2,0,NA,NA,NA,NA,NA,NA,96,16,137,329,127.760416666667,50.8762678190233,58.25,96,13550.7,96,0
"grbgbmet",2002-02-04,96,-7.2,-2.1,4.4,-1.95104166666667,3.45579588796825,5.675,96,49,67.5,95,72.6145833333333,14.2388421998765,26.25,96,1002,1005,1009,1005.28125,1.80469052602845,3,96,0.2,0.8,2.9,0.960416666666667,0.788533504500156,1.2,0,NA,NA,NA,NA,NA,NA,96,0,259.5,354,235.71875,90.9062794571246,130.5,96,15594.2,96,0
"grbgbmet",2002-02-05,96,-9.5,-6,-3.3,-5.98333333333333,1.83622419607346,2.925,96,29,46,63,45.8333333333333,10.722005573062,21.25,96,1009,1012,1015,1011.98958333333,1.47608865563632,2,96,0.2,1.9,6.7,2.09375,1.3109909871624,1.8,0,NA,NA,NA,NA,NA,NA,96,61,182,310,182.958333333333,46.6683520998899,59.5,96,18104.5,96,0
"grbgbmet",2002-02-06,96,-8.8,-2.95,2.3,-3.81875,3.47533603070491,6.55,96,27,52.5,68,48.3854166666667,14.923220896637,31,96,1014,1017,1018,1016.57291666667,1.43449820066785,2.25,96,0.2,1.9,5.9,2.1875,1.50292696884586,1.825,0,NA,NA,NA,NA,NA,NA,96,32,155.5,347,163.510416666667,43.6845136456404,33,96,20451.6,96,0
"grbgbmet",2002-02-07,96,-7,-2.35,3.6,-2.14479166666667,3.2996289996131,5.75,96,53,81.5,96,77.5,13.2625313135203,21,96,1003,1011,1017,1010.38541666667,4.53610032300333,8.25,96,0.2,0.2,1.7,0.441666666666667,0.412863343433244,0.4,0,NA,NA,NA,NA,NA,NA,96,1,237,346,226.479166666667,80.7495125182179,116.25,96,12650.4,96,0
"grbgbmet",2002-02-08,96,-4.5,1.4,7.6,1.78958333333333,3.61346834893734,6.7,96,33,54,95,58.2916666666667,18.8332945194446,34,96,1003,1010,1017,1009.73958333333,3.81477678636962,4.25,96,0.2,1.4,5.4,1.49791666666667,1.20166368591012,2,0,NA,NA,NA,NA,NA,NA,96,9,166,343,173.041666666667,59.340217420471,59.25,96,19306.3,96,0
"grbgbmet",2002-02-09,96,-5.7,-1.85,4.3,-1.471875,2.80205575379371,4.075,96,18,40.5,62,40.0625,13.1771832306733,21.5,96,1018,1031,1035,1029.27083333333,5.34785577624423,8.25,96,0.2,0.6,3.7,0.884375,0.834685963638264,1.1,0,NA,NA,NA,NA,NA,NA,96,8,191,353,204.510416666667,69.3452073692748,81.5,96,22127.5,96,0
"grbgbmet",2002-02-10,96,-9.3,1.35,3.3,-1.903125,4.68883226681397,9.125,96,43,67,99,73.25,19.6458111244316,42.25,96,1001,1028,1035,1024.30208333333,10.0568068508393,16.25,96,0.2,0.3,5.2,1.11458333333333,1.36790113267441,1.125,0,NA,NA,NA,NA,NA,NA,96,36,224.5,334,197.625,85.5475552574491,162.75,96,7832.1,96,4.1
"grbgbmet",2002-02-11,96,-13,0.2,9.7,-1.71354166666667,6.12727499819526,10.075,96,46,69.5,100,74.9270833333333,20.1887122144329,39.5,96,995,1003,1019,1005.125,8.42708665397979,16,96,0.2,1.35,7.1,1.659375,1.312416664021,1.325,0,NA,NA,NA,NA,NA,NA,96,10,184,327,186.572916666667,62.2304282979022,55,96,12219.3,96,6.4
"grbgbmet",2002-02-12,96,-14.2,-1.25,3.6,-4.45104166666667,7.30309227644329,15.275,96,39,55.5,75,56.3333333333333,10.1625387075502,18,96,1003,1008,1019,1009.54166666667,6.28769335442643,13,96,0.2,3.3,8.9,3.66458333333333,2.36117629768976,3.75,0,NA,NA,NA,NA,NA,NA,96,85,139.5,292,148.020833333333,32.1679733395178,24.25,96,16090.9,96,0
"grbgbmet",2002-02-13,96,-10.1,-1.05,1.8,-2.58854166666667,3.66536764269839,5.675,96,23,43.5,87,47.3854166666667,16.5455478455315,29,96,1003,1013,1023,1012.71875,6.76477427950346,13,96,0.2,2.2,7.3,2.271875,1.44103056142032,1.6,0,NA,NA,NA,NA,NA,NA,96,17,174.5,355,177.416666666667,56.3641667927914,59.5,96,21044,96,0
"grbgbmet",2002-02-14,96,-12.5,-1.8,2.2,-4.52291666666667,5.55020111853078,11.45,96,33,41,62,43.8229166666667,6.96456412913055,9.25,96,1021,1023,1027,1023.33333333333,1.87878273395396,3,96,0.2,3.7,7.6,3.49479166666667,1.96304649335866,3.15,0,NA,NA,NA,NA,NA,NA,96,30,140.5,213,144.947916666667,26.4616384867511,25,96,23753.9,96,0
"grbgbmet",2002-02-15,96,-1.7,3.3,8.2,2.59270833333333,3.14057469738017,5.85,96,31,51,74,51.1458333333333,9.65181102904273,9,96,1011,1017,1021,1016.1875,3.43453819771726,6,96,1.9,4.3,8.8,4.475,1.54306598419476,2.025,0,NA,NA,NA,NA,NA,NA,96,110,132,163,134.3125,11.6694044406731,14.25,96,12227.3,96,0
"grbgbmet",2002-02-16,96,-0.4,4.75,11.2,5.33125,3.47905953716775,5.45,96,38,77,92,70,18.3343221423933,36.25,96,1004,1006,1011,1006.35416666667,2.32595952658215,4,96,0.2,0.9,6.3,1.465625,1.47225770949175,2.3,0,NA,NA,NA,NA,NA,NA,96,9,142,348,152.208333333333,69.7245583355515,34.75,96,16123.1,96,0
"grbgbmet",2002-02-17,96,0,1.4,2.6,1.27395833333333,0.764508069100188,1.225,96,75,90,98,89.15625,7.36467832577264,14,96,1003,1003.5,1009,1004.38541666667,1.95405000025812,2,96,0.2,1.1,4.3,1.29583333333333,1.02113627799898,1.85,0,NA,NA,NA,NA,NA,NA,96,0,284,355,259.09375,84.3123363796157,72.25,96,5012.1,96,5.3
"grbgbmet",2002-02-18,96,-3.3,0.85,5.4,1.14166666666667,2.33849554276008,3.45,96,19,40.5,85,41.9583333333333,14.6617415973228,23,96,1010,1020,1022,1018.34375,3.819143262979,5,96,0.2,1.5,4.7,1.60625,1.08150114971835,1.7,0,NA,NA,NA,NA,NA,NA,96,0,278.5,354,241.145833333333,102.938712391267,132.5,96,24731.7,96,0
